,Unnamed: 0,Player Name,Player ID,Home Runs,Player Quote,Batting Hand,College
10,10,Mark McGwire,mcgwima01,583,"""Any time a guy (Mark McGwire) that big steps up to the plate - they're very few and far between, thank God - it's kind of hard not to notice him standing there. The sun just disappears for a while."" - Brown, Kevin. Baseball Almanac. Post Game Press Conference. 23 August 1997. Pro Player Stadium. [Mark McGwire Quotes]",Right,University of Southern California
11,11,Harmon Killebrew,killeha01,573,"""If ever anyone wielded a blunt instrument at home plate, it was Harmon Killebrew. There was nothing subtle about the Idaho strongboy: it was always his intention to mash a pitched ball as hard and as far as he could."" - Honig, Donald. The Power Hitters. Gramercy Publishing. 4 April 1993. Page 174. [Harmon Killebrew Quotes]",Right,None Attended
12,12,Rafael Palmeiro,palmera01,569,"""My dad was the force behind me early on. He was just infatuated with baseball. He was the one that basically taught me how to play the game. He gave a lot of his time working out with me, practicing and taking me to a lot of different games. It was hard work between both of us."" - Palmeiro, Rafael. The Miami Herald. 2 May 2003. [Rafael Palmeiro Quotes]",Left,Mississippi State University
13,13,Reggie Jackson,jacksre01,563,"""There isn't enough mustard in the whole world to cover that (Reggie Jackson) hotdog."" - Oakland Athletics Pitcher Darold Knowles in Baseball Digest (September 1974, Page 17) [Reggie Jackson Quotes]",Left,Arizona State University
14,14,Manny Ramirez,ramirma02,555,"""I just have a chip on my shoulder. I want to get here and get my stuff right and show people I can play. I think every year you gotta go out there and have something to prove, because you like to compete. I think every player during the offseason prepares to have a great season. We love to compete, and it doesn't matter what you did last year and you've got to prove yourself. It doesn't matter who you are. You have to go out there and keep showing what you can do."" - Ramirez, Manny. Chastain, Bill. MLB Staff Writer. Manny: I've got a chip on my shoulder. 17 February 2011.",Right,None Attended
15,15,Mike Schmidt,schmimi01,548,"""Anytime you think you have the game conquered, the game will turn around and punch you right in the nose."" - Mike Schmidt (McGovern, Mike. Complete Idiot's Guide to Sports History and Trivia. Alpha Publishing. 1 October 2001. Page 42.) [Mike Schmidt Quotes]",Right,Ohio University
16,16,David Ortiz,ortizda01,541,"""I know what it takes to be around the bag. I know what you need to do. I don't want to be a full-time DH. I'm not just going to tell him (Terry Francona) that I want to play first base more, I'm going to show him that I'm very interested."" - Ortiz, Ortiz. The Sports Network. 4 February 2004.",Left,None Attended
17,17,Mickey Mantle,mantlmi01,536,"""During my 18 years I came to bat almost 10,000 times. I struck out about 1,700 times and walked maybe 1,800 times. You figure a ballplayer will average about 500 at-bats a season. That means I played seven years without ever hitting the ball."" - Mantle, Mickey. Mickey Mantle — Memories and Memorabilia. Canale, Larry. Author. Krause Publications. 20 June 2011, Page 150. [Mickey Mantle Quotes]",Both,None Attended
18,18,Jimmie Foxx,foxxji01,534,"""I was pitching one day when my glasses clouded up on me. I took them off to polish them. When I looked up to the plate, I saw Jimmie Foxx. The sight of him terrified me so much that I haven't been able to wear glasses since."" - Gomez, Lefty. The Story of the Oakland Athletics. Pueschner, Gordon. Author. Creative Education Publishers. 1 July 2007. Page 15.",Right,None Attended
19,19,Willie McCovey,mccovwi01,521,"""This is the question I posed to Willie McCovey: You're the manager of the other team in a tie game with two outs and nobody on in the ninth. The batter is Willie McCovey, now... before I could finish, Willie broke in, 'I'd walk him.' Then he laughed. It's really no laughing matter to the San Francisco Giants' slugging first baseman, however. Because a lot of other managers would do the same thing."" - Markus, Robert. Sportswriter. Baseball Digest: Willie McCovey - Baseball's Most Feared Batter. June 1971. Page 32.",Left,None Attended
20,20,Frank Thomas,thomafr04,521,"""I think respect is what you earn on the field. I just think a lot of people have taken for granted what I've done on the field and think, 'Oh, he just naturally does that.' I've worked my butt off, and at times we all want to be rewarded, but we all know sometimes things aren't fair."" - Frank Thomas in USA Today Sports Weekly (March 3-9, 2004)",Right,Auburn University
21,21,Ted Williams,willite01,521,"""Giant centerfield Willie Mays compared (Ted) Williams and (Stan) Musial to sportswriter Roger Kahn. 'Ted Williams was the best pure hitter I ever saw,' Mays said. 'But Ted was stubborn. When they shifted on him, everybody to the right side, he still kept trying to pull the ball for hits. If anybody shifted that way on Musial, he would have wrecked them, by slapping base hits into left. Ted Williams is the best pure hitter I ever saw. Musial is the best all around hitter.'"" - Gaus, Ed. Author. Beerball: A History of St. Louis Baseball. iUniverse Publishing. 18 July 2001. Page 128. [Ted Williams Quotes]",Left,None Attended
22,22,Ernie Banks,bankser01,512,"""It's a shame that a lot of GREAT ball players never even got a chance to play in the World Series. Players like Ernie Banks. I heard him say once that he'll always have an open feeling in his heart because of not playing in a World Series."" - Gossage, Rich. [Ernie Banks Quotes]",Right,None Attended
23,23,Eddie Mathews,matheed01,512,"""She (his mother) used to pitch to me and my dad would shag and as I got older every time I hit a ball back through the middle, close to my mother I got an additional chore to do, so my mother was instrumental in making me a pull hitter."" - Mathews, Eddie. Hall of Fame Induction Day Speech. Cooperstown, New York. 7 August 1978. [Eddie Mathews Quotes]",Left,None Attended
24,24,Miguel Cabrera,cabremi01,511,"""I only fear death, nothing else. You can't do anything in fear. You have to be tranquil and believe."" - Cabrera, Miguel. The Miami Herald. 28 February 2004.",Right,None Attended
25,25,Mel Ott,ottme01,511,"""Every time I sign a ball, and there have been thousands, I thank my luck that I wasn't born (Stan) Coveleski or (Bill) Wambsganss or (Roger) Peckinpaugh."" - Ott, Mel. The Cultural Encyclopedia of Baseball. Light, Jonathan Fraser. McFarland & Company. 1 September 2017. Page 56.",Left,None Attended
26,26,Gary Sheffield,sheffga01,509,"""'You can be shunned and scorned,' my grandfather said. 'You can be abused and confused, but if you have Inside Power, you have everything. Inside Power is what gets you through.' I thought Grandpa was talking about blasting the ball when they pitch it close to your body. Turns out that was only part of it. The business of Inside Power is the lesson of my lifetime. Fact is, it's the story of my life: how I learned it, lost it, and finally found it again; how Inside Power changed everything about me. Don't worry, I'm not going to preach or give some lecture. I'm just going to tell you a story about how a boy became a man."" - Gary Sheffield. Inside Power. Crown Publishing. 3 April 2007. Page 1.",Right,None Attended
27,27,Eddie Murray,murraed02,504,"""Eddie (Murray) was a huge part of the success of the Orioles for a lot of years. He was a great player and a great teammate. He went out and did his job every day."" - Ripken, Jr., Cal. Sports Illustrated:Murray was all about action, not words. 7 January 2003. [Eddie Murray Quotes]",Both,None Attended
28,28,Lou Gehrig,gehrilo01,493,"""His greatest record doesn't show in the book. It was the absolute reliability of Henry Louis Gehrig. He could be counted upon. He was there every day at the ballpark bending his back and ready to break his neck to win for his side. He was there day after day and year after year. He never sulked or whined or went into a pot or a huff. He was the answer to a manager's dream."" - Sportswriter John Kieran in The New York Times / The 50 Greatest Players in New York Yankees History (Cohen, Robert W. Scarecrow Publishing. Lou Gehrig. 9 March 2012. Page 11.) [Lou Gehrig Quotes]",Left,Columbia University
29,29,Fred McGriff,mcgrifr01,493,"""The bottom line is I enjoy winning. Losing is no fun. As long as you step out on to that field and you've got a fighting chance to win, that's all you can ask for. It seems like a lot of years ago. It's all been so good. I've been blessed to play baseball and I've had a lot of fun."" - McGriff, Fred. Baseball Digest. August 1998.",Left,None Attended
30,30,Adrián Beltré,beltrad01,477,"""Adrián Beltré is one of the greatest power-hitting third basemen in the history of baseball. He is now one of only four players to spend at least seventy-five percent of his career at the hot corner and hit four-hundred homers. The others? Hall of Famer Mike Schmidt (548), Hall of Famer Eddie Mathews (512) and soon-to-be (since inducted, in 2018) Hall of Famer Chipper Jones (468)."" - Stavenhagen, Cody. MLB Staff Writer. Veteran third baseman adds to impressive big league resume. 16 May 2015.",Right,None Attended
31,31,Stan Musial,musiast01,475,"""When Butch Yatkeman handed out uniforms, he surveyed us with the experienced eye of a tailor and threw us what he thought would fit best. The uniforms, of course, bore numbers then unassigned. I drew number 6. I've never worn any other in the big leagues and, long before I laid it aside, Mr. Busch decided that for the first time the Cardinals would retire a number."" - Stan Musial (Stewart, Wayne. Triumph Books. Stan the Man: The Life and Times of Stan Musial. 1 April 1964.)",Left,None Attended
32,32,Willie Stargell,stargwi01,475,"""Sometimes I hit him (Steve Carlton) like I used to hit (Sandy) Koufax, and that's like drinking coffee with a fork. Did you every try that?"" - Willie Stargell in Baseball Illustrated (11th Edition, 1975) [Willie Stargell Quotes]",Left,None Attended
33,33,Carlos Delgado,delgaca01,473,"""Not only was he (Carlos Delgado) one of the best hitters in club history, he was one of the finest first basemen of his generation. More importantly, Carlos was a tremendous ambassador for the Blue Jays organization and the city of Toronto. His fun-loving attitude was infectious and his tireless work in the community were truly his greatest assets."" - Toronto Blue Jays President Paul Beeston (The Canadian Press, 12/07/2012, 'Blue Jays to honour retired slugger Carlos Delgado', Source)",Left,None Attended
34,34,Chipper Jones,jonesch06,468,"""The first time Braves manager Bobby Cox saw (Chipper) Jones, he knew he was going to be a star. 'That face,' Cox said. 'He has that face.' It is the face of a baseball lifer, a guy who was born to play the game. A baseball lifer doesn't necessarily mean playing until you're 45, then managing or coaching the rest of your life. It also means playing the game properly, doing what you're told, doing what's best for the team, adjusting constantly and, of course, winning."" - ESPN Columnist Tim Kurkjian in ESPN: The Magazine (August 3, 2005)",Both,None Attended
35,35,Dave Winfield,winfida01,465,"""Last year (1978) I became a lot more patient. I learned the strike zone a lot better and I realized that sometimes it's better to take a walk than make an out on a bad pitch."" - Winfield, Dave. Hot-Hitting Winfield Shuns HR Swing. Collier, Phil. Author. The Sporting News. Volume 187. Page 27. [Dave Winfield Quotes]",Right,University of Minnesota
36,36,Nelson Cruz,cruzne02,464,"""Do you have a favorite quote from or about this particular Major League Baseball player that you would like to see here? If so, please send it to us, and we'll update this page immediately."" - Baseball Almanac",Right,None Attended
37,37,Jose Canseco,cansejo01,462,"""Oakland outfielder Jose Canseco is hitting .330 at home and .290 on the road, while first baseman Mark McGwire is hitting .258 at home and .290 on the road. Said Athletics Manager Tony La Russa: 'I think that's because McGwire's a married man. McGwire gets more rest on the road, and Canseco gets more rest at home.'"" - McLemore, Ivy. Columnist. The Houston Post: Around the Majors. 5 June 1988.",Right,None Attended
38,38,Adam Dunn,dunnad01,462,"""He's (Adam Dunn) one of those special talents who comes around once every 20 years, you know what I mean? Adam is someone who really changes a game and can hit the ball as far as anybody in the league."" - Casey, Sean. Cincinnati Reds First Baseman. Adam Dunn: hitting his stride as a big league slugger: young left-handed swinging outfielder developing into one of game's most threatening batsmen. McMurray, John. Baseball Digest Writer. September 2005. Page 27.",Left,University of Texas at Austin (DNP)
39,39,Carl Yastrzemski,yastrca01,452,"""You don't always make an out. Sometimes the pitcher gets you out."" - Yastrzemski, Carl. The Gigantic Book of Baseball Quotations. Stewart, Wayne. Author. Skyhorse Publishing. 17 October 2007. Page 199. [Carl Yastrzemski Quotes]",Left,University of Notre Dame
40,40,Jeff Bagwell,bagweje01,449,"""I'm a professional ballplayer and what I see as my responsibility is to be ready to, play. All the rest of that stuff, being a star or whatever, is never something I've been interested in."" - Jeff Bagwell in Houston's Inspirational Leader (Baseball Digest : June 2001)",Right,University of Hartford
41,41,Vladimir Guerrero,guerrvl01,449,"""If it's round, and has some stitching on it, he's (Vladimir Guerrero) swinging.""- Darling, Ron. Former Player / Sportscaster. Turner Broadcasting System. American League Division Series Live Broadcast. 12 October 2010.",Right,None Attended
42,42,Dave Kingman,kingmda01,442,"""The last time a pure home run hitter swung a bat for the Cubs at Wrigley Field, his personality wasn't the question. Ernie Banks' disposition came drenched in sunshine. One-Stroke Magic returned to Wrigley Field this spring in the person of lean and hungry David Arthur Kingman. He is an unquestionable slugging talent with a puzzling psyche marked 'fragile' and sure to be handled with care. The past is his bane."" - Hewitt, Brian. Chicago Sun Times Writer. Baseball Digest. July 1978. Page 31.",Right,University of Southern California
43,43,Jason Giambi,giambja01,440,"""I know what it's like to be on top of the world and I know what it's like to be dragged in the gutter. I've been booed and cheered, ripped and praised, but I'm not the type to regret things. I never backtrack. I deal with things and move on. And the journey I've had here has been incredible. Believe it or not, I wouldn't change a thing. I've enjoyed the ride, the whole circus."" - Giambi, Jason. The Giambi Tales. Geffner, Michael P. Cigar Aficionado Staff Writer. September / October 2008.",Left,"California State University, Long Beach"
44,44,Paul Konerko,konerpa01,439,"""Paul Konerko is one of the greatest players in White Sox history, not only for his strength and performance on the field, but also for his heart and leadership off the field. Paul was a humble leader whose passion for the game earned the respect and love of the entire clubhouse and fans all over the country. We honor Paul by retiring his number and welcoming him to the ranks of White Sox legends."" - Reinsdorf, Jerry. Chicago White Sox Chairman. White Sox will retire Konerko's number on May 23. Merkin, Scott. MLB Staff Writer. 15 Janury 2015.",Right,None Attended
45,45,Andre Dawson,dawsoan01,438,"""Determination made Andre Dawson a great player – determination to come back after more than a dozen knee operations, determination to show baseball how overlooked he was during his first 11 years playing north of the border, determination to become one of the most well-rounded players in the game’s history. Andre Dawson showed that determination on his face with a menacing scowl at the plate and was one of baseball’s true five-tool players. He could run, hit, hit with power, field, and throw and was among baseball’s best in each category."" - Baseball Researcher Dan D'Addona (SABR Biography Project, 04/30/2011, 'Andre Dawson', Source)",Right,Florida A&M University
46,46,Carlos Beltran,beltrca01,435,"""Beltran's career: low on drama and high on results. He's soft-spoken, determined and almost regal in his ability to rise above petty dramas and distractions and concentrate on the task at hand... When an athlete is so unassuming and mind-numbingly consistent, it's easy to lose track or sell him short. Beltran won an American League Rookie of the Year Award with Kansas City and admittedly 'cried like a baby' when the Royals sent him to Houston (Astros) in 2004. Then he signed a $119 million contract with New York (Mets), where he made five All-Star teams and once smacked into Mike Cameron in an outfield collision for the ages. All of a sudden Beltran is 36 years old and not quite as limber as he once was. The face is fuller, the body thicker and not so lithe, and he has to pick his spots. But the numbers reflect a bountiful career that keeps getting better. Beltran just made his eighth All-Star team, a distinction that ties him with Andre Dawson, Duke Snider, Jim Rice and Chipper Jones, among others. The first three are in the Hall of Fame, and Jones is on his way."" - Crasnick, Jerry. ESPN Writer. Beltran should land in Cooperstown. 14 August 2013.",Both,None Attended
47,47,Juan Gonzalez,gonzaju03,434,"""Juan's an RBI machine, and with the three of us (Angel Berroa, Carlos Beltran and Mike Sweeney) hitting in front of him, he's going to put up huge numbers."" - Beltran, Carlos. Teammate. USA Today Sports Weekly. 3 March 2004.",Right,None Attended
48,48,Andruw Jones,jonesan01,434,"""He (Andruw Jones) just has so much natural ability. There is something there that you don't see at his age. You look at him and you can see something there that other players don't have."" - Macon Manager Nelson Norman in Baseball America (Issue 0409)",Right,None Attended
49,49,"Cal Ripken, Jr.",ripkeca01,431,"""One question I've been repeatedly asked these last few weeks is how do I want to be remembered. My answer is simple: To be remembered at all is pretty special. I might also add, that if I am remembered, I hope it's because by living my dream I was able to make a difference."" - Ripken, Jr. Cal. Iron Man Ripken brought stability to shortstop, Acocella, Nick. ESPN Classic Network Broadcaster. ESPN Network, SportsCentury Biography. [Cal Ripken, Jr. Quotes]",Right,None Attended
50,50,Mike Piazza,piazzmi01,427,"""One thing that has always grounded me is being a good soldier. I'm not twenty-five anymore. I see the light at the end of the tunnel of my career and I have to relish every second. That starts with a good attitude."" - Piazza, Mike. USA Today Sports Weekly. 3 March 2004. Page 18.",Right,Miami Dade Community College
51,51,Billy Williams,willibi01,426,"""Each time I was in a slump it seemed like I'd have to go out and face a (Don) Drysdale, a (Sandy) Koufax, or a (Juan) Marichal that particular afternoon. It never failed."" - Billy Williams in The New Yorker (Volume 57, Issue 7-14, 1981, Page 54)",Left,None Attended
52,52,Edwin Encarnacion,encared01,424,"""Jose Bautista and Edwin Encarnacion have this thing they do, a kind of Hulk Hogan home-run salute, every time one of them hits a long ball. They face each other and flex their muscles, like a body builder posing in front of a mirror. 'Fuerte!' Encarnacion explains, using the Spanish word for 'strong,' while re-enacting the salute in the Blue Jays' clubhouse after the team completed a three-game sweep of the Orioles on Wednesday night—a game in which Encarnacion cranked his team-leading 17th home run of the season. The soft-spoken Dominican also has a solo signature move, for which he has no explanation. He extends a stiff right arm and holds it aloft during home run trots, like a frozen chicken wing. 'I did it one time and my teammates liked it, so I continue to do it.' Whatever it is, it’s working for the 29-year-old first baseman and designated hitter, who at the moment is swinging with the game’s elite power hitters."" - Kennedy, Brendan. Toronto Star Writer. Blue Jays Edwin Encarnacion swinging with elite power hitters. 1 June 2012.",Right,None Attended
53,53,Darrell Evans,evansda01,414,"""No better feeling (hitting a home run) in the whole world. It is what you live for. Sometimes it is what you die for. You put one up there and it makes you feel young again."" - Evans, Darrell. Darrell Evans: The Making of a Home Run Hitter. Falls, Joe. Baseball Digest Writer. July 1986. Page 25.",Left,Pasadena City (Junior) College
54,54,Alfonso Soriano,soriaal01,412,"""The guy (Alfonso Soriano) works his butt off all the time. There's no doubt the fans lost a little faith in him sometimes with the things he does, but I think the fans have to understand he's probably the hardest-working guy in the clubhouse. That's always refreshing, and players love him to death. He's the most prolific guy in our lineup and he's done it before."" - Sveum, Dale. Chicago Cubs Manager. Cubs confident that Soriano can produce. Muskat, Carrie. MLB Staff Writer. 28 February 2012.",Right,None Attended
55,55,Mark Teixeira,teixema01,409,"""I was definitely happy and excited inside (after hitting for the cycle on August 17, 2004), but you don't want to be celebrating in a situation (winning 16-1 at the time) like that. Triples are a weird thing, especially for a guy like me. You need some bounces, you need a big outfield. For me, they're few and far between. They (his teammates) were kidding me, telling me to trip over first base (to get the single) if I hit one into the gap."" - Mark Teixeira (Associated Press, August 18, 2004)",Both,Georgia Institute of Technology
56,56,Duke Snider,snidedu01,407,"""In the split second from the time the ball leaves the pitcher's hand until it reaches the plate you have to think about your stride, your hip action, your wrist action, determine how much, if any, the ball is going to break, and then decide whether to swing at it."" - Duke Snider in The Sporting News (November 19, 1952) [Duke Snider Quotes]",Left,None Attended
57,57,Giancarlo Stanton,stantmi03,402,"""(Giancarlo) Stanton has 'Herman Munster power,' according to an Arizona Diamondbacks scouting report on the Marlins slugger. 'We heard that originally from Mark Weidemaier, our advanced scout. He puts little tidbits in our advanced reports for us, and Stanton is included amongst the Herman Munster power guys in the league so far,' Diamondbacks third base coach Matt Williams said before Saturday's game. Williams and Arizona bench coach Alan Trammell both said that's the first time they've heard of the old TV character from The Munsters, based on the Frankenstein monster-like role played by the late Fred Gwynne, used as a reference in a professional scouting report. 'You see great speed, plus arm, all of that stuff, but never Herman Munster (power), Williams said. 'Some guys have light-tower power, but that's nothing compared to Herman Munster power.'"" - Sportswriter Joe Capozzi in The Palm Beach Post (06/11/2011, 'Diamondbacks scouts say Florida Marlins slugger Mike Stanton has ""Munster"" power', Alan Trammell)",Right,None Attended
58,58,Andres Galarraga,galaran01,399,"""Really, at this point I'd rather him (Andres Galarraga) just go up, and if he hits the ball, hit it hard. Just telling a guy to put the ball in play doesn't always mean that much if it isn't hit that hard. I don't care if he pulls the ball four times each game because if he does that, chances are one of them will go very far."" - Montreal Expos Manager Tom Runnells (The kind of hitting approach Galarraga should use) in USA Today Baseball Weekly (September 6-12, 1991)",Right,None Attended
59,59,Al Kaline,kalinal01,399,"""When No. 6 (Al Kaline) was on his game, he was something special. But No. 6 wasn't always on his game. Sometimes he sulked. Sometimes he loafed. Sometimes he wouldn't talk at all. It was the spring of 1957, and Kaline was still growing up — still trying to find his place in the world. Strange as it is to say in the glow of all his glory, but there was a time when Al Kaline wasn't a very pleasant person to be around. He threw helmets. He threw bats. He threw tantrums. It wasn't easy moving into such a fast-paced world when you grew up in the Westport section of Baltimore, where the fields were made of dirt and only dirt and the whole world was northing more than row houses upon row houses upon row houses. By the time he was 18, he was in the major leagues. By the time he was 20, he was the American League batting champion, the youngest in history. Younger than even Ty Cobb. What did he know? What could he know? All he had ever done was go to school and play baseball. There was no time for anything else. No time for girls. No time for growing up."" - Whitt, Alan. Author. They Earned Their Stripes: The Detroit Tigers' All-Time Team. Sports Publishing. 4 April 2001. Page 43.",Right,None Attended
60,60,Dale Murphy,murphda05,398,"""Nolan Ryan said: 'I can't imagine Joe DiMaggio was a better all-around player than Dale Murphy.' Hank Aaron added: 'Dale is probably the best all-around player in either league, probably the most valuable commodity in baseball right now.' It continued after his '83 excellence, too. 'He's the best I've ever seen, and I've seen Willie Mays,' said Chicago Cus pitching coach Billy Connors. 'I've seen Murphy win games every way there is, a base hit in the ninth, a home run, a great catch, beating the throw to first on a double play. I've never seen anything like him before in my life.'"" - Author Jack Wilkinson in Game of My Life Atlanta Braves: Memorable Stories of Braves Baseball (Sports Publishing, 04/01/2013, Page 228)",Right,Brigham Young University (DNP)
61,61,Joe Carter,cartejo01,396,"""I was having a bad (1993 World) Series at the plate. Just awful. All I was looking for was a pitch to put into to play. Get a good look at it and take an ugly swing. I never, ever thought that ball I hit would leave the park. It was a moment and a swing that will be with me forever."" - Joe Carter",Right,Wichita State University
62,62,Jim Edmonds,edmonji01,393,"""Offensively and defensively, he's (Jim Edmonds) a great, great player. He amazes me every day. You talk about players, he's a player. It's not just the numbers that you put up. It's on both sides of the ball. It's understanding the game. He's as good as it gets."" - Rolen, Scott. Leach, Matthew. MLB Analyst. 3 November 2004.",Left,None Attended
63,63,Graig Nettles,nettlgr01,390,"""When I was a little boy, I wanted to be a baseball player and join the circus. With the Yankees I have accomplished both."" - Nettles, Graig. If These Walls Could Talk: New York Yankees: Stories from the New York Yankees Dugout, Locker Room, and Press Box. Jennings, Greg. Author. Triumph Books. 1 April 2015. Page 62.",Left,San Diego State College
64,64,Johnny Bench,benchjo01,389,"""Trained by his father Ted (Bench) to throw 254 feet — twice the distance from home plate to second base — from a crouch, (Johnny) Bench boasted that he could, 'throw out any runner alive.'"" - Acocella, Nick. ESPN Classic. Baseball's greatest catcher. 25 October 2004.[Johnny Bench Quotes]",Right,None Attended
65,65,Aramis Ramirez,ramirar01,386,"""Ramirez, 37, shared the secrets to career longevity with a crop of young, impressionable players from his home country, the Dominican Republic, which has produced only six players who appeared in more games than Ramirez (2,194). Acquired via a trade in July, he helped them better understand the state of baseball and of the Pirates, who traded him to the Cubs as a promising 25-year-old to solve payroll problems in 2003. 'He's pouring out when guys are willing to listen,' manager Clint Hurdle said of Ramirez. 'He's not a self promoter. He's not that guy that's probably going to grab the flag and run to the front. … We've got guys that'll get to the front, and we've got other guys that don't need to get to the front, because you need to have protection in other areas as well.' Ramirez recognized the abundance of Dominican talent among his Pirates teammates when he arrived in July. He waited for Gregory Polanco, Starling Marte and others to approach him with questions. 'I try to help them as much as I can, just like some guys did when I came up,' Ramirez said. 'I don't care if you've been here one year or 20 years. You're a man, and I respect you the same.'"" - Staff Writer Bill West (Pittsburgh Tribune, 10/09/2015, 'Pirates say goodbye to veteran leaders Burnett, Ramirez,' Source)",Right,None Attended
66,66,Dwight Evans,evansdw01,385,"""One of the most underrated and overlooked players in Red Sox history, Dwight 'Dewey' Evans spent the first half of his career being viewed essentially as a defensive standout with only average offensive ability. Although Evans won three Gold Gloves during his first nine seasons in Boston, he hit more than 20 home runs and batted over .280 just twice, and he never drove in more than 70 runs. The strong-armed right fielder spent most of that time placing a distant third in the Red Sox outfield to sluggers Jim Rice and Fred Lynn, who experienced immediate success when they arrived in Boston in 1975. However, a new batting stance and a different approach at the plate helped Evans eventually evolve into one of the American League's most potent batsmen and finest all-around players. Evans surpassed 20 home runs each year from 1981 to 1989, hitting a total of 256 homers during the decade of the '80s—more than any other player in the junior circuit."" - Author Robert W. Cohen in The 50 Greatest Players in Boston Red Sox History (Down East Books, 11/07/2014, #12. Dwight Evans, Page 87)",Right,None Attended
67,67,Harold Baines,baineha01,384,"""He's (Harold Baines) a first-class guy. He just goes about his business. He doesn't say much but when he does, it means a lot."" - St. Louis Cardinals Coach Ron Hassey (Baseball Digest. Harold Baines: He Lets His Bat Do the Talking. 1996 September. Page 31)",Left,None Attended
68,68,Larry Walker,walkela01,383,"""You don't ever forget your first game [box] in the big leagues. I got a hit off Giants' Mike LaCoss and walked three times. I walked over to first base after my third walk and Will Clark says to me, 'It's your first game in the big leagues and they're pitching you like you're Babe Ruth.' "" - Walker, Larry. Baseball Digest. July 2002.",Left,None Attended
69,69,Frank Howard,howarfr01,382,"""One of these days (Frank) Howard will unleash a line drive at the opposing pitcher and the only identification left on the mound is going to be a laundry mark."" - Thompson, Fresco. Second Baseman. Every Diamond Doesn't Sparkle: Behind The Scenes With The Dodgers. Rice, Cy. Author. David McKay Publishing. 1 January 1964. Page 44.",Right,Ohio State University
